class	property	type	description
TVSeries	director	Person	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.
RadioSeries	director	Person	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.
MovieSeries	director	Person	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.
Movie	director	Person	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.
Event	director	Person	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.
Episode	director	Person	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.
CreativeWorkSeason	director	Person	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.
Clip	director	Person	A director of e.g. tv, radio, movie, video gaming etc. content, or of an event. Directors can be associated with individual items or with a series, episode, clip.
SoftwareApplication	device	Text	Device required to run the application. Used in cases where a specific make/model is required to run the application.
Thing	description	Text	A description of the item.
VisualArtwork	depth	QuantitativeValue	The depth of the item.
VisualArtwork	depth	Distance	The depth of the item.
Product	depth	QuantitativeValue	The depth of the item.
Product	depth	Distance	The depth of the item.
TechArticle	dependencies	Text	Prerequisites needed to fulfill steps in article.
Trip	departureTime	DateTime	The expected departure time.
Flight	departureTerminal	Text	Identifier of the flight's departure terminal.
TrainTrip	departureStation	TrainStation	The station from which the train departs.
TrainTrip	departurePlatform	Text	The platform from which the train departs.
Flight	departureGate	Text	Identifier of the flight's departure gate.
BusTrip	departureBusStop	BusStop	The stop or station from which the bus departs.
BusTrip	departureBusStop	BusStation	The stop or station from which the bus departs.
Flight	departureAirport	Airport	The airport where the flight originates.
Organization	department	Organization	A relationship between an organization and a department of that organization, also described as an organization (allowing different urls, logos, opening hours). For example: a store with a pharmacy, or a bakery with a cafe.
ParcelDelivery	deliveryStatus	DeliveryEvent	New entry added as the package passes through each leg of its journey (from shipment to final delivery).
TrackAction	deliveryMethod	DeliveryMethod	A sub property of instrument. The method of delivery.
SendAction	deliveryMethod	DeliveryMethod	A sub property of instrument. The method of delivery.
ReceiveAction	deliveryMethod	DeliveryMethod	A sub property of instrument. The method of delivery.
OrderAction	deliveryMethod	DeliveryMethod	A sub property of instrument. The method of delivery.
Offer	deliveryLeadTime	QuantitativeValue	The typical delay between the receipt of the order and the goods either leaving the warehouse or being prepared for pickup, in case the delivery method is on site pickup.
Demand	deliveryLeadTime	QuantitativeValue	The typical delay between the receipt of the order and the goods either leaving the warehouse or being prepared for pickup, in case the delivery method is on site pickup.
ParcelDelivery	deliveryAddress	PostalAddress	Destination address.
PropertyValueSpecification	defaultValue	Thing	The default value of the input.  For properties that expect a literal, the default is a literal value, for properties that expect an object, it's an ID reference to one of the current values.
PropertyValueSpecification	defaultValue	Text	The default value of the input.  For properties that expect a literal, the default is a literal value, for properties that expect an object, it's an ID reference to one of the current values.
Person	deathPlace	Place	The place where the person died.
Person	deathDate	Date	Date of death.
OpeningHoursSpecification	dayOfWeek	DayOfWeek	The day of the week for which these opening hours are valid.
NewsArticle	dateline	Text	"A [dateline](https://en.wikipedia.org/wiki/Dateline) is a brief piece of text included in news articles that describes where and when the story was written or filed though the date is often omitted. Sometimes only a placename is provided.

Structured representations of dateline-related information can also be expressed more explicitly using [[locationCreated]] (which represents where a work was created e.g. where a news report was written).  For location depicted or described in the content, use [[contentLocation]].

Dateline summaries are oriented more towards human readers than towards automated processing, and can vary substantially. Some examples: ""BEIRUT, Lebanon, June 2."", ""Paris, France"", ""December 19, 2017 11:43AM Reporting from Washington"", ""Beijing/Moscow"", ""QUEZON CITY, Philippines"".
"
Vehicle	dateVehicleFirstRegistered	Date	The date of the first registration of the vehicle with the respective public authorities.
Message	dateSent	DateTime	The date/time at which the message was sent.
Message	dateReceived	DateTime	The date/time the message was received if a single recipient exists.
Message	dateRead	DateTime	The date/time at which the message has been read by the recipient if a single recipient exists.
CreativeWork	datePublished	Date	Date of first broadcast/publication.
JobPosting	datePosted	Date	Publication date for the job posting.
DataFeedItem	dateModified	DateTime	The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.
DataFeedItem	dateModified	Date	The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.
CreativeWork	dateModified	DateTime	The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.
CreativeWork	dateModified	Date	The date on which the CreativeWork was most recently modified or when the item's entry was modified within a DataFeed.
Ticket	dateIssued	DateTime	The date the ticket was issued.
DataFeedItem	dateDeleted	DateTime	The datetime the item was removed from the DataFeed.
DataFeedItem	dateCreated	DateTime	The date on which the CreativeWork was created or the item was added to a DataFeed.
DataFeedItem	dateCreated	Date	The date on which the CreativeWork was created or the item was added to a DataFeed.
CreativeWork	dateCreated	DateTime	The date on which the CreativeWork was created or the item was added to a DataFeed.
CreativeWork	dateCreated	Date	The date on which the CreativeWork was created or the item was added to a DataFeed.
Dataset	datasetTimeInterval	DateTime	The range of temporal applicability of a dataset, e.g. for a 2011 census dataset, the year 2011 (in ISO 8601 time interval format).
DataCatalog	dataset	Dataset	A dataset contained in this catalog.
DataFeed	dataFeedElement	Thing	An item within in a data feed. Data feeds may have many elements.
DataFeed	dataFeedElement	Text	An item within in a data feed. Data feeds may have many elements.
DataFeed	dataFeedElement	DataFeedItem	An item within in a data feed. Data feeds may have many elements.
Order	customer	Person	Party placing the order or paying the invoice.
Order	customer	Organization	Party placing the order or paying the invoice.
Invoice	customer	Person	Party placing the order or paying the invoice.
Invoice	customer	Organization	Party placing the order or paying the invoice.
MonetaryAmount	currency	Text	"The currency in which the monetary amount is expressed.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."
DatedMoneySpecification	currency	Text	"The currency in which the monetary amount is expressed.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."
LocalBusiness	currenciesAccepted	Text	"The currency accepted.\n\nUse standard formats: [ISO 4217 currency format](http://en.wikipedia.org/wiki/ISO_4217) e.g. ""USD""; [Ticker symbol](https://en.wikipedia.org/wiki/List_of_cryptocurrencies) for cryptocurrencies e.g. ""BTC""; well known names for [Local Exchange Tradings Systems](https://en.wikipedia.org/wiki/Local_exchange_trading_system) (LETS) and other currency types e.g. ""Ithaca HOUR""."
MusicRelease	creditedTo	Person	"The group the release is credited to if different than the byArtist. For example, Red and Blue is credited to ""Stefani Germanotta Band"", but by Lady Gaga."
MusicRelease	creditedTo	Organization	"The group the release is credited to if different than the byArtist. For example, Red and Blue is credited to ""Stefani Germanotta Band"", but by Lady Gaga."
UserComments	creator	Person	The creator/author of this CreativeWork. This is the same as the Author property for CreativeWork.
UserComments	creator	Organization	The creator/author of this CreativeWork. This is the same as the Author property for CreativeWork.
CreativeWork	creator	Person	The creator/author of this CreativeWork. This is the same as the Author property for CreativeWork.
CreativeWork	creator	Organization	The creator/author of this CreativeWork. This is the same as the Author property for CreativeWork.
LiveBlogPosting	coverageStartTime	DateTime	The time when the live blog will begin covering the Event. Note that coverage may begin before the Event's start time. The LiveBlogPosting may also be created before coverage begins.
LiveBlogPosting	coverageEndTime	DateTime	The time when the live blog will stop covering the Event. Note that coverage may continue after the Event concludes.
Course	coursePrerequisites	Text	"Requirements for taking the Course. May be completion of another [[Course]] or a textual description like ""permission of instructor"". Requirements may be a pre-requisite competency, referenced using [[AlignmentObject]]."
Course	coursePrerequisites	Course	"Requirements for taking the Course. May be completion of another [[Course]] or a textual description like ""permission of instructor"". Requirements may be a pre-requisite competency, referenced using [[AlignmentObject]]."
Course	coursePrerequisites	AlignmentObject	"Requirements for taking the Course. May be completion of another [[Course]] or a textual description like ""permission of instructor"". Requirements may be a pre-requisite competency, referenced using [[AlignmentObject]]."
CourseInstance	courseMode	URL	"The medium or means of delivery of the course instance or the mode of study, either as a text label (e.g. ""online"", ""onsite"" or ""blended""; ""synchronous"" or ""asynchronous""; ""full-time"" or ""part-time"") or as a URL reference to a term from a controlled vocabulary (e.g. https://ceds.ed.gov/element/001311#Asynchronous )."
CourseInstance	courseMode	Text	"The medium or means of delivery of the course instance or the mode of study, either as a text label (e.g. ""online"", ""onsite"" or ""blended""; ""synchronous"" or ""asynchronous""; ""full-time"" or ""part-time"") or as a URL reference to a term from a controlled vocabulary (e.g. https://ceds.ed.gov/element/001311#Asynchronous )."
Course	courseCode	Text	The identifier for the [[Course]] used by the course [[provider]] (e.g. CS101 or 6.001).
ExerciseAction	course	Place	A sub property of location. The course where this action was taken.
TVSeries	countryOfOrigin	Country	The country of the principal offices of the production company or individual responsible for the movie or program.
TVSeason	countryOfOrigin	Country	The country of the principal offices of the production company or individual responsible for the movie or program.
TVEpisode	countryOfOrigin	Country	The country of the principal offices of the production company or individual responsible for the movie or program.
Movie	countryOfOrigin	Country	The country of the principal offices of the production company or individual responsible for the movie or program.
SoftwareApplication	countriesSupported	Text	Countries for which the application is supported. You can also provide the two-letter ISO 3166-1 alpha-2 country code.
SoftwareApplication	countriesNotSupported	Text	Countries for which the application is not supported. You can also provide the two-letter ISO 3166-1 alpha-2 country code.
CreativeWork	copyrightYear	Number	The year during which the claimed copyright for the CreativeWork was first asserted.
CreativeWork	copyrightHolder	Person	The party holding the legal copyright to the CreativeWork.
CreativeWork	copyrightHolder	Organization	The party holding the legal copyright to the CreativeWork.
Recipe	cookingMethod	Text	The method of cooking, such as Frying, Steaming, ...
Recipe	cookTime	Duration	The time it takes to actually cook the dish, in [ISO 8601 duration format](http://en.wikipedia.org/wiki/ISO_8601).
Event	contributor	Person	A secondary contributor to the CreativeWork or Event.
Event	contributor	Organization	A secondary contributor to the CreativeWork or Event.
CreativeWork	contributor	Person	A secondary contributor to the CreativeWork or Event.
CreativeWork	contributor	Organization	A secondary contributor to the CreativeWork or Event.
MediaObject	contentUrl	URL	Actual bytes of the media object, for example the image file or video file.
EntryPoint	contentType	Text	The supported content type(s) for an EntryPoint response.
MediaObject	contentSize	Text	File size in (mega/kilo) bytes.
CreativeWork	contentRating	Text	Official rating of a piece of content&#x2014;for example,'MPAA PG-13'.
CreativeWork	contentLocation	Place	The location depicted or described in the content. For example, the location in a photograph or painting.
VideoGameSeries	containsSeason	CreativeWorkSeason	A season that is part of the media series.
TVSeries	containsSeason	CreativeWorkSeason	A season that is part of the media series.
RadioSeries	containsSeason	CreativeWorkSeason	A season that is part of the media series.
Place	containsPlace	Place	The basic containment relation between a place and another that it contains.
Place	containedInPlace	Place	The basic containment relation between a place and one that contains it.
Place	containedIn	Place	The basic containment relation between a place and one that contains it.
ContactPoint	contactType	Text	A person or organization can have different contact points, for different purposes. For example, a sales contact point, a PR contact point and so on. This property is used to specify the kind of contact point.
Person	contactPoints	ContactPoint	A contact point for a person or organization.
Organization	contactPoints	ContactPoint	A contact point for a person or organization.
Person	contactPoint	ContactPoint	A contact point for a person or organization.
Organization	contactPoint	ContactPoint	A contact point for a person or organization.
ContactPoint	contactOption	ContactPointOption	An option available on this contact point (e.g. a toll-free number or support for hearing-impaired callers).
Order	confirmationNumber	Text	A number that confirms the given order or payment has been received.
Invoice	confirmationNumber	Text	A number that confirms the given order or payment has been received.
MusicComposition	composer	Person	The person or organization who wrote a composition, or who is the composer of a work performed at some event.
MusicComposition	composer	Organization	The person or organization who wrote a composition, or who is the composer of a work performed at some event.
Event	composer	Person	The person or organization who wrote a composition, or who is the composer of a work performed at some event.
Event	composer	Organization	The person or organization who wrote a composition, or who is the composer of a work performed at some event.
SportsEvent	competitor	SportsTeam	A competitor in a sports event.
SportsEvent	competitor	Person	A competitor in a sports event.
UserComments	commentTime	DateTime	The time at which the UserComment was made.
UserComments	commentTime	Date	The time at which the UserComment was made.
UserComments	commentText	Text	The text of the UserComment.
CreativeWork	commentCount	Integer	The number of comments this CreativeWork (e.g. Article, Question or Answer) has received. This is most applicable to works published in Web sites with commenting system; additional comments may exist elsewhere.
RsvpAction	comment	Comment	Comments, typically from users.
CreativeWork	comment	Comment	Comments, typically from users.
Product	color	Text	The color of the product.
UpdateAction	collection	Thing	A sub property of object. The collection target of the action.
Person	colleagues	Person	A colleague of the person.
Person	colleague	URL	A colleague of the person.
Person	colleague	Person	A colleague of the person.
SoftwareSourceCode	codeSampleType	Text	What type of code sample: full (compile ready) solution, code snippet, inline code, scripts, template.
SoftwareSourceCode	codeRepository	URL	Link to the repository where the un-compiled, human readable code and related code is located (SVN, github, CodePlex).
SportsTeam	coach	Person	A person that acts in a coaching role for a sports team.
OpeningHoursSpecification	closes	Time	The closing hour of the place or service on the given day(s) of the week.
Clip	clipNumber	Text	Position of the clip within an ordered group of clips.
Clip	clipNumber	Integer	Position of the clip within an ordered group of clips.
ClaimReview	claimReviewed	Text	A short summary of the specific claims reviewed in a ClaimReview.
CreativeWork	citation	Text	A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.
CreativeWork	citation	CreativeWork	A citation or reference to another creative work, such as another publication, web page, scholarly article, etc.
GeoShape	circle	Text	A circle is the circular region of a specified radius centered at a specified latitude and longitude. A circle is expressed as a pair followed by a radius in meters.
NutritionInformation	cholesterolContent	Mass	The number of milligrams of cholesterol.
Person	children	Person	A child of the person.
ParentAudience	childMinAge	Number	Minimal age of the child.
ParentAudience	childMaxAge	Number	Maximal age of the child.
LodgingReservation	checkoutTime	DateTime	The latest someone may check out of a lodging establishment.
LodgingBusiness	checkoutTime	DateTime	The latest someone may check out of a lodging establishment.
LodgingReservation	checkinTime	DateTime	The earliest someone may check into a lodging establishment.
LodgingBusiness	checkinTime	DateTime	The earliest someone may check into a lodging establishment.
VideoGameSeries	cheatCode	CreativeWork	Cheat codes to the game.
VideoGame	cheatCode	CreativeWork	Cheat codes to the game.
PerformanceRole	characterName	Text	The name of a character played in some acting or performing role, i.e. in a PerformanceRole.
VideoGameSeries	characterAttribute	Thing	A piece of data that represents a particular aspect of a fictional character (skill, power, character points, advantage, disadvantage).
Game	characterAttribute	Thing	A piece of data that represents a particular aspect of a fictional character (skill, power, character points, advantage, disadvantage).
CreativeWork	character	Person	Fictional person connected with a creative work.
Message	ccRecipient	Person	A sub property of recipient. The recipient copied on a message.
Message	ccRecipient	Organization	A sub property of recipient. The recipient copied on a message.
Message	ccRecipient	ContactPoint	A sub property of recipient. The recipient copied on a message.
Service	category	Thing	A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
Service	category	Text	A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
Product	category	Thing	A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
Product	category	Text	A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
Offer	category	Thing	A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
Offer	category	Text	A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
Invoice	category	Thing	A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
Invoice	category	Text	A category for the item. Greater signs or slashes can be used to informally indicate a category hierarchy.
MusicRelease	catalogNumber	Text	The catalog number for the release.
Dataset	catalog	DataCatalog	A data catalog which contains this dataset.
MobileApplication	carrierRequirements	Text	Specifies specific carrier(s) requirements for the application (e.g. an application may only work on a specific carrier network).
ParcelDelivery	carrier	Organization	'carrier' is an out-dated term indicating the 'provider' for parcel delivery and flights.
Flight	carrier	Organization	'carrier' is an out-dated term indicating the 'provider' for parcel delivery and flights.
Vehicle	cargoVolume	QuantitativeValue	The available volume for cargo or luggage. For automobiles, this is usually the trunk volume.\n\nTypical unit code(s): LTR for liters, FTQ for cubic foot/feet\n\nNote: You can use [[minValue]] and [[maxValue]] to indicate ranges.
NutritionInformation	carbohydrateContent	Mass	The number of grams of carbohydrates.
VideoObject	caption	Text	The caption for this object.
ImageObject	caption	Text	The caption for this object.
VoteAction	candidate	Person	A sub property of object. The candidate subject of this action.
NutritionInformation	calories	Energy	The number of calories.
MusicRecording	byArtist	MusicGroup	The artist that performed this album or recording.
MusicAlbum	byArtist	MusicGroup	The artist that performed this album or recording.
SellAction	buyer	Person	A sub property of participant. The participant/person/organization that bought the object.
TypeAndQuantityNode	businessFunction	BusinessFunction	The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell.
Offer	businessFunction	BusinessFunction	The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell.
Demand	businessFunction	BusinessFunction	The business function (e.g. sell, lease, repair, dispose) of the offer or component of a bundle (TypeAndQuantityNode). The default is http://purl.org/goodrelations/v1#Sell.
BusTrip	busNumber	Text	The unique identifier for the bus.
BusTrip	busName	Text	The name of the bus (e.g. Bolt Express).
WebApplication	browserRequirements	Text	Specifies browser requirements in human-readable text. For example, 'requires HTML5 support'.
Service	broker	Person	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
Service	broker	Organization	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
Reservation	broker	Person	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
Reservation	broker	Organization	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
Order	broker	Person	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
Order	broker	Organization	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
Invoice	broker	Person	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
Invoice	broker	Organization	An entity that arranges for an exchange between a buyer and a seller.  In most cases a broker never acquires or releases ownership of a product or service involved in an exchange.  If it is not clear whether an entity is a broker, seller, or buyer, the latter two terms are preferred.
BroadcastService	broadcaster	Organization	The organization owning or operating the broadcast service.
BroadcastService	broadcastTimezone	Text	The timezone in [ISO 8601 format](http://en.wikipedia.org/wiki/ISO_8601) for which the service bases its broadcasts
BroadcastChannel	broadcastServiceTier	Text	The type of service required to have access to the channel (e.g. Standard or Premium).
BroadcastEvent	broadcastOfEvent	Event	The event being broadcast such as a sporting event or awards ceremony.
BroadcastService	broadcastDisplayName	Text	The name displayed in the channel guide. For many US affiliates, it is the network name.
BroadcastChannel	broadcastChannelId	Text	The unique address by which the BroadcastService can be identified in a provider lineup. In US, this is typically a number.
BroadcastService	broadcastAffiliateOf	Organization	The media network(s) whose content is broadcast on this station.
WebPage	breadcrumb	Text	A set of links that can help a user understand and navigate a website hierarchy.
WebPage	breadcrumb	BreadcrumbList	A set of links that can help a user understand and navigate a website hierarchy.
Service	brand	Organization	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
Service	brand	Brand	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
Product	brand	Organization	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
Product	brand	Brand	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
Person	brand	Organization	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
Person	brand	Brand	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
Organization	brand	Organization	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
Organization	brand	Brand	The brand(s) associated with a product or service, or the brand(s) maintained by an organization or business person.
LocalBusiness	branchOf	Organization	The larger organization that this local business is a branch of, if any. Not to be confused with (anatomical)[[branch]].
Place	branchCode	Text	"A short textual code (also called ""store code"") that uniquely identifies a place of business. The code is typically assigned by the parentOrganization and used in structured URLs.\n\nFor example, in the URL http://www.starbucks.co.uk/store-locator/etc/detail/3047 the code ""3047"" is a branchCode for a particular branch.
"
GeoShape	box	Text	A box is the area enclosed by the rectangle formed by two points. The first point is the lower corner, the second point is the upper corner. A box is expressed as two points separated by a space character.
LendAction	borrower	Person	A sub property of participant. The person that borrows the object being lent.
Reservation	bookingTime	DateTime	The date and time the reservation was booked.
Reservation	bookingAgent	Person	'bookingAgent' is an out-dated term indicating a 'broker' that serves as a booking agent.
Reservation	bookingAgent	Organization	'bookingAgent' is an out-dated term indicating a 'broker' that serves as a booking agent.
Book	bookFormat	BookFormatType	The format of the book.
Book	bookEdition	Text	The edition of the book.
Flight	boardingPolicy	BoardingPolicyType	The type of boarding policy used by the airline (e.g. zone-based or group-based).
Airline	boardingPolicy	BoardingPolicyType	The type of boarding policy used by the airline (e.g. zone-based or group-based).
FlightReservation	boardingGroup	Text	The airline-specific indicator of boarding order / preference.
Blog	blogPosts	BlogPosting	The postings that are part of this blog.
Blog	blogPost	BlogPosting	A posting that is part of this blog.
MediaObject	bitrate	Text	The bitrate of the media object.
Person	birthPlace	Place	The place where the person was born.
Person	birthDate	Date	Date of birth.
Invoice	billingPeriod	Duration	The time interval used to compute the invoice.
UnitPriceSpecification	billingIncrement	Number	This property specifies the minimal quantity and rounding increment that will be the basis for the billing. The unit of measurement is specified by the unitCode property.
Order	billingAddress	PostalAddress	The billing address for the order.
Rating	bestRating	Text	The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.
Rating	bestRating	Number	The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.
JobPosting	benefits	Text	Description of benefits associated with the job.
HowToDirection	beforeMedia	MediaObject	A media object representing the circumstances before performing this direction.
Suite	bed	Text	"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."
Suite	bed	BedDetails	"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."
HotelRoom	bed	Text	"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."
HotelRoom	bed	BedDetails	"The type of bed or beds included in the accommodation. For the single case of just one bed of a certain type, you use bed directly with a text.
      If you want to indicate the quantity of a certain kind of bed, use an instance of BedDetails. For more detailed information, use the amenityFeature property."
Message	bccRecipient	Person	A sub property of recipient. The recipient blind copied on a message.
Message	bccRecipient	Organization	A sub property of recipient. The recipient blind copied on a message.
Message	bccRecipient	ContactPoint	A sub property of recipient. The recipient blind copied on a message.
JobPosting	baseSalary	PriceSpecification	The base salary of the job or of an employee in an EmployeeRole.
JobPosting	baseSalary	Number	The base salary of the job or of an employee in an EmployeeRole.
JobPosting	baseSalary	MonetaryAmount	The base salary of the job or of an employee in an EmployeeRole.
EmployeeRole	baseSalary	PriceSpecification	The base salary of the job or of an employee in an EmployeeRole.
EmployeeRole	baseSalary	Number	The base salary of the job or of an employee in an EmployeeRole.
EmployeeRole	baseSalary	MonetaryAmount	The base salary of the job or of an employee in an EmployeeRole.
SportsEvent	awayTeam	SportsTeam	The away team in a sports event.
SportsEvent	awayTeam	Person	The away team in a sports event.
Product	awards	Text	Awards won by or for this item.
Person	awards	Text	Awards won by or for this item.
Organization	awards	Text	Awards won by or for this item.
CreativeWork	awards	Text	Awards won by or for this item.
Service	award	Text	An award won by or for this item.
Product	award	Text	An award won by or for this item.
Person	award	Text	An award won by or for this item.
Organization	award	Text	An award won by or for this item.
CreativeWork	award	Text	An award won by or for this item.
DeliveryEvent	availableThrough	DateTime	After this date, the item will no longer be available for pickup.
SoftwareApplication	availableOnDevice	Text	Device required to run the application. Used in cases where a specific make/model is required to run the application.
TouristAttraction	availableLanguage	Text	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]
TouristAttraction	availableLanguage	Language	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]
ServiceChannel	availableLanguage	Text	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]
ServiceChannel	availableLanguage	Language	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]
LodgingBusiness	availableLanguage	Text	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]
LodgingBusiness	availableLanguage	Language	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]
ContactPoint	availableLanguage	Text	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]
ContactPoint	availableLanguage	Language	A language someone may use with or at the item, service or place. Please use one of the language codes from the [IETF BCP 47 standard](http://tools.ietf.org/html/bcp47). See also [[inLanguage]]
DeliveryEvent	availableFrom	DateTime	When the item is available for pickup from the store, locker, etc.
Offer	availableDeliveryMethod	DeliveryMethod	The delivery method(s) available for this offer.
Demand	availableDeliveryMethod	DeliveryMethod	The delivery method(s) available for this offer.
Service	availableChannel	ServiceChannel	A means of accessing the service (e.g. a phone bank, a web site, a location, etc.).
Offer	availableAtOrFrom	Place	The place(s) from which the offer can be obtained (e.g. store locations).
Demand	availableAtOrFrom	Place	The place(s) from which the offer can be obtained (e.g. store locations).
Offer	availabilityStarts	DateTime	The beginning of the availability of the product or service included in the offer.
Demand	availabilityStarts	DateTime	The beginning of the availability of the product or service included in the offer.
Offer	availabilityEnds	DateTime	The end of the availability of the product or service included in the offer.
Demand	availabilityEnds	DateTime	The end of the availability of the product or service included in the offer.
Offer	availability	ItemAvailability	The availability of this item&#x2014;for example In stock, Out of stock, Pre-order, etc.
Demand	availability	ItemAvailability	The availability of this item&#x2014;for example In stock, Out of stock, Pre-order, etc.
Rating	author	Person	The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.
Rating	author	Organization	The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.
CreativeWork	author	Person	The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.
CreativeWork	author	Organization	The author of this content or rating. Please note that author is special in that HTML 5 provides a special mechanism for indicating authorship via the rel tag. That is equivalent to this and may be used interchangeably.
